state,district,zhDistrict,districtNe,districtMm,districtBe,confirmed,ytdConfirmed,new,dateUpdate,activeCases,ytdActive,newActive,activeDateUpdate,fourteen,YTDfourteen,newFourteen
Sarawak,Bintulu,民都鲁,बिन्तुलु,ဗင်တူလူ ,বিনটুলু,64.0,64.0,0.0,2021-01-05,8.0,8.0,0.0,2021-01-09,367,409,-42
Sarawak,Mukah,沐胶,मुका,မူကာ့,মুকাহ,1.0,1.0,0.0,2020-04-05,0.0,0.0,0.0,2020-06-07,177,186,-9
Sarawak,Serian,西连,सेरियन,ဆယ်ရီယန် ,সেরিয়াান,27.0,27.0,0.0,2020-12-23,1.0,1.0,0.0,2020-10-25,133,128,5
Sarawak,Lundu,伦乐,लुन्दु,လွန်ဒူ,লান্ডু,7.0,7.0,0.0,2020-11-18,1.0,1.0,0.0,2020-11-14,28,23,5
Sarawak,Samarahan,三马拉汉,कोता समरहण,ကိုတာ ဆာမာရာဟန်,কোটা সামারাহান,118.0,118.0,0.0,2021-01-08,2.0,2.0,0.0,2021-01-08,89,92,-3
Sarawak,Simunjan,实文然,सिमुंजन,ဆီမွန်ဂျန်,সিমুনজান,8.0,8.0,0.0,2020-06-05,0.0,0.0,0.0,2020-06-19,13,13,0
Sarawak,Lawas,老越,लावस,လာဝပ်စ်,লেওয়াচ,12.0,12.0,0.0,2020-12-26,0.0,0.0,0.0,2021-01-08,4,7,-3
Sarawak,Sibu,诗巫,सिबू,ဆီဘူး ,সিবু,79.0,79.0,0.0,2021-01-09,52.0,52.0,0.0,2021-01-09,663,743,-80
Sarawak,Sri Aman,斯里阿曼,सरी अमन,ဆရီ အာမန် ,শ্রী আমান,9.0,9.0,0.0,2020-10-09,4.0,4.0,0.0,2020-10-17,141,151,-10
Sarawak,Pakan,巴干,फकन,ပါကန်,পাকান,0.0,0.0,0.0,2020-01-24,0.0,0.0,0.0,,26,34,-8
Sarawak,Tatau,达岛,टतौ,တာတောင့်,টাটাউ,0.0,0.0,0.0,2020-01-24,0.0,0.0,0.0,,137,141,-4
Sarawak,Tebedu,打必律,तेबेदु,တာဘေဒူ,তেবেদু,4.0,4.0,0.0,2020-12-23,1.0,1.0,0.0,2020-12-23,121,148,-27
Sarawak,Pusa,浮刹,,,,,,,,,,,,8,8,0
Sarawak,Bukit Mabong,武吉玛丰,,,,,,,,,,,,33,41,-8
Sarawak,Subis,苏必士,,,,,,,,,,,,191,187,4
Sarawak,Kapit,加帛,कपित,ကာပစ်,কাপিত,2.0,2.0,0.0,2020-01-24,1.0,1.0,0.0,,112,119,-7
Sarawak,Maradong,马拉端,मेरादोंग,မာရာဒေါင်း ,মেরাডং,4.0,4.0,0.0,2020-01-24,4.0,4.0,0.0,,106,99,7
Sarawak,Asajaya,阿沙再也,असजय,အာရှဂျာယာ ,আসাজয়া,7.0,7.0,0.0,2020-12-27,2.0,2.0,0.0,2020-01-27,36,42,-6
Sarawak,Sebauh,实巴荷,सेलान्गौ,ဆလန်ဂေါင်း ,সেলাংগো,,,,,,,,,23,31,-8
Sarawak,Bau,石隆门,बाउ,ဘောင် ,বাউ,7.0,7.0,0.0,2020-10-09,0.0,0.0,0.0,2020-10-22,202,205,-3
Sarawak,Balaga,布拉甲,बेलगा,ဘယ်လဂါ,বেলাগা,0.0,0.0,0.0,2020-01-24,0.0,0.0,0.0,,11,11,0
Sarawak,Dalat,大叻,दलत,ဒါလတ်,ডালাত,0.0,0.0,0.0,2020-01-24,0.0,0.0,0.0,,18,18,0
Sarawak,Daro,达佬,दारो,ဒါရို,ডারু,1.0,1.0,0.0,2020-10-09,0.0,0.0,0.0,2020-10-20,0,0,0
Sarawak,Selangau,实兰沟,सेलान्गौ,ဆလန်ဂေါင်း ,সেলাংগো,1.0,1.0,0.0,2020-01-24,1.0,1.0,0.0,,59,54,5
