enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Bandar Baru Kubang Kerian,0,76.0,76.0,Bandar Baru Kubang Kerian,Bandar Baru Kubang Kerian,"Tumpat, Kota Bharu, Bachok",active,,,
Taman Bukit Pantai,0,24.0,24.0,Taman Bukit Pantai,Taman Bukit Pantai,"Lembah Pantai, Petaling",,,,
Sungai Kluang Satu,0,170.0,170.0,Sungai Kluang Satu,Sungai Kluang Satu,"Barat Daya, Timur Laut, Seberang Perai Tengah, Seberang Perai Utara, Seberang Perai Selatan, Kerian",active,,,
Sungai Gemuan,0,91.0,91.0,Sungai Gemuan,Sungai Gemuan,Meradong,active,2.0,,
Sim-Sim,0,18.0,18.0,Sim-Sim,Sim-Sim,Sandakan,,,,
Jalan Ismail Sultan,0,44.0,44.0,Jalan Ismail Sultan,Jalan Ismail Sultan,Johor Bahru,,,,
Disso,0,92.0,92.0,Disso,Disso,Saratok,,1.0,,
Batu Lima Jalan Sibuga,0,8.0,8.0,Batu Lima Jalan Sibuga,Batu Lima Jalan Sibuga,Sandakan,,,,
Perusahaan Perai Tiga,0,68.0,68.0,Perusahaan Perai Tiga,Perusahaan Perai Tiga,"Seberang Perai Tengah, Seberang Perai Utara,
 Timur Laut",,,,
Padang Manggis,0,38.0,38.0,Padang Manggis,Padang Manggis,"Pekan, Kuantan",active,,,
Jalan Taming,0,9.0,9.0,Jalan Taming,Jalan Taming,"Hulu Langat, Petaling",,,,
Industri Parit Raja,0,69.0,69.0,Industri Parit Raja,Industri Parit Raja,Batu Pahat,,,,
Tembok Choh Dua,0,42.0,42.0,Tembok Choh Dua,Tembok Choh Dua,Johor Bahru,active,,,
Sungai Kluang Empat,0,296.0,296.0,Sungai Kluang Empat,Sungai Kluang Empat,"Barat Daya, Timur Laut, Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan",,,,
Sungai Kawi,0,239.0,239.0,Sungai Kawi,Sungai Kawi,"Meradong, Sibu",active,,,
Persiaran Indahpura Utama,0,11.0,11.0,Persiaran Indahpura Utama,Persiaran Indahpura Utama," Kulai, Johor Bahru, Batu Pahat",,,,
Jalan Simpang Balak,0,23.0,23.0,Jalan Simpang Balak,Jalan Simpang Balak,Hulu Langat,,,,
Jalan Persiaran Putri,0,70.0,70.0,Jalan Persiaran Putri,Jalan Persiaran Putri,"Kulai, Kota Tinggi, Muar, Kluang",,,,
Jalan Padang Benggali,0,50.0,50.0,Jalan Padang Benggali,Jalan Padang Benggali,Seberang Perai Utara,active,,,
Jalan Keretapi,0,82.0,82.0,Jalan Keretapi,Jalan Keretapi,"Klang, Kuala Selangor",,,,
Jalan Bangunan Kerajaan,0,51.0,51.0,Jalan Bangunan Kerajaan,Jalan Bangunan Kerajaan,"Beluru, Miri",,1.0,,
Highline,0,5.0,5.0,Highline,Highline,Kota Tinggi,,,,
Taman Peruda,0,19.0,19.0,Taman Peruda,Taman Peruda,Kuala Muda,,,,
Padang Hijau,0,12.0,12.0,Padang Hijau,Padang Hijau,Kluang,,,,
Kampung Palekbang,0,92.0,92.0,Kampung Palekbang,Kampung Palekbang,Tumpat,active,,,
Kampung Belaoh,0,138.0,138.0,Kampung Belaoh,Kampung Belaoh,Besut,active,,,
Jalan Mega Industri,0,33.0,33.0,Jalan Mega Industri,Jalan Mega Industri,Johor Bahru,active,,,
Jalan Maju,0,93.0,93.0,Jalan Maju,Jalan Maju,Sibu,,,,
Jalan Kota Kubang Labu,0,247.0,247.0,Jalan Kota Kubang Labu,Jalan Kota Kubang Labu,"Kota Bharu, Bachok",active,,,
